2021-06-29 23:06:201 INFO  AddCustomerPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (0fb5f031bc606fc2b8f23789852c65b4)] -> css selector: button.btn.btn-default]
2021-06-29 23:06:78 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-29 23:06:919 INFO  HomePage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (15a10317f9a932600eecc983e62bfcce)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-29 23:06:231 INFO  BankManagerLoginPage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (15a10317f9a932600eecc983e62bfcce)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-29 23:06:370 INFO  AddCustomerPage :32 - Send text Jenna to field : [[ChromeDriver: chrome on WINDOWS (15a10317f9a932600eecc983e62bfcce)] -> xpath: //input[@placeholder='First Name']]
2021-06-29 23:06:464 INFO  AddCustomerPage :37 - Send text Salvator to field : [[ChromeDriver: chrome on WINDOWS (15a10317f9a932600eecc983e62bfcce)] -> xpath: //input[@placeholder='Last Name']]
2021-06-29 23:06:481 INFO  AddCustomerPage :41 - Send text : LE43NJ to field : [[ChromeDriver: chrome on WINDOWS (15a10317f9a932600eecc983e62bfcce)] -> xpath: //input[@placeholder='Post Code']]
2021-06-29 23:06:699 INFO  AddCustomerPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (15a10317f9a932600eecc983e62bfcce)] -> css selector: button.btn.btn-default]
2021-06-29 23:06:865 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-29 23:06:613 INFO  HomePage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (90c2671e47544cc7a6a4c659189be341)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-29 23:06:861 INFO  BankManagerLoginPage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (90c2671e47544cc7a6a4c659189be341)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-29 23:06:970 INFO  AddCustomerPage :32 - Send text Jenna to field : [[ChromeDriver: chrome on WINDOWS (90c2671e47544cc7a6a4c659189be341)] -> xpath: //input[@placeholder='First Name']]
2021-06-29 23:06:66 INFO  AddCustomerPage :37 - Send text Salvator to field : [[ChromeDriver: chrome on WINDOWS (90c2671e47544cc7a6a4c659189be341)] -> xpath: //input[@placeholder='Last Name']]
2021-06-29 23:06:84 INFO  AddCustomerPage :41 - Send text : LE43NJ to field : [[ChromeDriver: chrome on WINDOWS (90c2671e47544cc7a6a4c659189be341)] -> xpath: //input[@placeholder='Post Code']]
2021-06-29 23:06:267 INFO  AddCustomerPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (90c2671e47544cc7a6a4c659189be341)] -> css selector: button.btn.btn-default]
2021-06-29 23:06:25 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-29 23:06:705 INFO  HomePage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-29 23:06:89 INFO  BankManagerLoginPage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-29 23:06:192 INFO  AddCustomerPage :32 - Send text Jenna to field : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //input[@placeholder='First Name']]
2021-06-29 23:06:285 INFO  AddCustomerPage :37 - Send text Salvator to field : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //input[@placeholder='Last Name']]
2021-06-29 23:06:304 INFO  AddCustomerPage :41 - Send text : LE43NJ to field : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //input[@placeholder='Post Code']]
2021-06-29 23:06:475 INFO  AddCustomerPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> css selector: button.btn.btn-default]
2021-06-29 23:06:634 INFO  BankManagerLoginPage :27 - Clicking on : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-29 23:06:918 INFO  OpenAccountPage :26 - Clicking on [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //select[@id='userSelect']]
2021-06-29 23:06:77 INFO  OpenAccountPage :31 - Select previous customer from : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //select[@id='userSelect']]
2021-06-29 23:06:170 INFO  OpenAccountPage :37 - Clicking on : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //select[@id='currency']]
2021-06-29 23:06:315 INFO  OpenAccountPage :42 - Select currency from : [[ChromeDriver: chrome on WINDOWS (133fafeb475f3f961056fa1ab2c8ec34)] -> xpath: //select[@id='currency']]
2021-06-29 23:06:764 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-29 23:06:420 INFO  HomePage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
